ID;Quarter;State_faze;Exposure at initiation;Payment;Remaining exposure;Recovered exposure after default
93;1;0-15;71738.11463;7173.81;64564.30317;0
94;1;0-15;60080.75125;6008.08;54072.67613;0
95;1;0-15;96756.46959;9675.65;87080.82263;0
96;1;0-15;98699.97951;9870.00;88829.98156;0
97;1;0-15;13267.08621;1326.71;11940.37759;0
98;1;0-15;4000.509967;400.05;3600.458971;0
99;1;0-15;65680.16035;6568.02;59112.14432;0
100;1;0-15;66795.11414;6679.51;60115.60272;0
101;1;0-15;74738.80755;7473.88;67264.92679;0
102;1;0-15;11373.9981;1137.40;10236.59829;0
103;1;0-15;13001.89433;1300.19;11701.70489;0
104;1;0-15;1673.347212;167.33;1506.012491;0
105;1;0-15;96090.08155;9609.01;86481.07339;0
106;1;0-15;6555.125605;655.51;5899.613045;0
107;1;0-15;28641.00751;2864.10;25776.90676;0
108;1;0-15;15643.01609;1564.30;14078.71448;0
109;1;0-15;84838.9636;8483.90;76355.06724;0
110;1;0-15;35297.38679;3529.74;31767.64812;0
111;1;0-15;60807.06842;6080.71;54726.36158;0
112;1;0-15;72790.71697;7279.07;65511.64527;0
113;1;0-15;4803.092689;480.31;4322.78342;0
114;1;0-15;98767.03644;9876.70;88890.3328;0
115;1;0-15;19827.74792;1982.77;17844.97313;0
116;1;0-15;9379.216592;937.92;8441.294933;0
117;1;0-15;60668.37222;6066.84;54601.53499;0
118;1;0-15;39987.23008;3998.72;35988.50708;0
119;1;0-15;86243.70902;8624.37;77619.33812;0
120;1;0-15;31223.52129;3122.35;28101.16916;0
121;1;0-15;57298.66748;5729.87;51568.80073;0
122;1;0-15;84372.87993;8437.29;75935.59193;0
123;1;0-15;62819.94563;6281.99;56537.95107;0
124;1;0-15;69536.93579;6953.69;62583.24221;0
125;1;0-15;21135.66867;2113.57;19022.10181;0
126;1;0-15;48732.20361;4873.22;43858.98325;0
127;1;0-15;34589.20154;3458.92;31130.28138;0
128;1;0-15;98006.698;9800.67;88206.0282;0
129;1;0-15;94781.22397;9478.12;85303.10157;0
130;1;0-15;11176.3795;1117.64;10058.74155;0
131;1;0-15;86493.68199;8649.37;77844.31379;0
132;1;0-15;77330.5751;7733.06;69597.51759;0
133;1;0-15;54514.20827;5451.42;49062.78744;0
134;1;0-15;54222.84635;5422.28;48800.56172;0
135;1;0-15;38284.79113;3828.48;34456.31202;0
136;1;0-15;65387.12938;6538.71;58848.41644;0
137;1;0-15;3102.838046;310.28;2792.554241;0
138;1;0-15;13992.72685;1399.27;12593.45416;0
139;1;0-15;4219.472476;421.95;3797.525228;0
140;1;0-15;39014.60449;3901.46;35113.14404;0
141;1;0-15;7269.478136;726.95;6542.530323;0
142;1;0-15;70709.06239;7070.91;63638.15615;0
143;1;0-15;58134.32067;5813.43;52320.8886;0
144;1;0-15;14404.32679;1440.43;12963.89411;0
145;1;0-15;56586.07338;5658.61;50927.46604;0
146;1;0-15;82443.05239;8244.31;74198.74715;0
147;1;0-15;15210.07817;1521.01;13689.07035;0
148;1;0-15;36596.95829;3659.70;32937.26246;0
149;1;0-15;43370.98673;4337.10;39033.88806;0
150;1;0-15;97541.69637;9754.17;87787.52674;0
151;1;0-15;69466.57662;6946.66;62519.91896;0
152;1;0-15;93071.96903;9307.20;83764.77213;0
153;1;0-15;97854.11067;9785.41;88068.69961;0
154;1;0-15;33756.99226;3375.70;30381.29303;0
155;1;0-15;68799.09733;6879.91;61919.1876;0
156;1;0-15;20423.01881;2042.30;18380.71693;0
157;1;0-15;10822.27033;1082.23;9740.043301;0
158;1;0-15;91710.01007;9171.00;82539.00906;0
159;1;0-15;94192.24628;9419.22;84773.02165;0
160;1;0-15;34096.60137;3409.66;30686.94123;0
161;1;0-15;43102.79942;4310.28;38792.51948;0
162;1;0-15;29895.81553;2989.58;26906.23397;0
163;1;0-15;4970.674301;497.07;4473.606871;0
164;1;0-15;56955.39544;5695.54;51259.85589;0
165;1;0-15;35618.73905;3561.87;32056.86514;0
166;1;0-15;14322.06743;1432.21;12889.86069;0
167;1;0-15;20141.41495;2014.14;18127.27346;0
168;1;0-15;47929.90208;4792.99;43136.91187;0
169;1;0-15;66586.02669;6658.60;59927.42402;0
170;1;0-15;37611.27929;3761.13;33850.15136;0
171;1;0-15;33009.6817;3300.97;29708.71353;0
172;1;0-15;2136.667606;213.67;1923.000845;0
173;1;0-15;66219.03671;6621.90;59597.13304;0
174;1;0-15;80642.53222;8064.25;72578.279;0
175;1;0-15;37529.37868;3752.94;33776.44081;0
176;1;0-15;89191.14418;8919.11;80272.02977;0
177;1;0-15;44255.39056;4425.54;39829.85151;0
178;1;0-15;82162.35283;8216.24;73946.11755;0
179;1;0-15;17863.06953;1786.31;16076.76258;0
180;1;0-15;35159.63756;3515.96;31643.67381;0
181;1;0-15;73857.9588;7385.80;66472.16292;0
182;1;0-15;49872.9796;4987.30;44885.68164;0
183;1;0-15;38932.25681;3893.23;35039.03113;0
184;1;0-15;44593.23448;4459.32;40133.91103;0
185;1;0-15;19164.15486;1916.42;17247.73938;0
186;1;0-15;29036.95364;2903.70;26133.25828;0
187;1;0-15;49615.79674;4961.58;44654.21707;0
188;1;0-15;62194.76771;6219.48;55975.29094;0
189;1;0-15;23461.12961;2346.11;21115.01665;0
190;1;0-15;36755.8332;3675.58;33080.24988;0
191;1;0-15;22294.26148;2229.43;20064.83533;0
192;1;0-15;2209.367735;220.94;1988.430962;0
193;1;0-15;35109.03378;3510.90;31598.13041;0
194;1;0-15;14637.6343;1463.76;13173.87087;0
195;1;0-15;5712.361433;571.24;5141.12529;0
196;1;0-15;60609.15723;6060.92;54548.2415;0
197;1;0-15;19520.14628;1952.01;17568.13165;0
198;1;0-15;66237.09452;6623.71;59613.38507;0
199;1;0-15;87791.97399;8779.20;79012.77659;0
200;1;0-15;91962.58516;9196.26;82766.32664;0
201;1;0-15;17642.90931;1764.29;15878.61838;0
202;1;0-15;5946.590363;594.66;5351.931327;0
203;1;0-15;57541.77994;5754.18;51787.60194;0
204;1;0-15;71951.15914;7195.12;64756.04322;0
205;1;0-15;76838.78243;7683.88;69154.90419;0
206;1;0-15;59265.98913;5926.60;53339.39022;0
207;1;0-15;22213.13246;2221.31;19991.81921;0
208;1;0-15;83755.904;8375.59;75380.3136;0
209;1;0-15;21137.85113;2113.79;19024.06601;0
210;1;0-15;91667.47094;9166.75;82500.72385;0
211;1;0-15;16459.76615;1645.98;14813.78954;0
212;1;0-15;34001.87729;3400.19;30601.68956;0
213;1;0-15;54886.52959;5488.65;49397.87663;0
214;1;0-15;63082.53187;6308.25;56774.27869;0
215;1;0-15;30403.33784;3040.33;27363.00406;0
216;1;0-15;97879.07532;9787.91;88091.16779;0
217;1;0-15;28568.83706;2856.88;25711.95335;0
218;1;0-15;30032.12747;3003.21;27028.91472;0
219;1;0-15;34694.78049;3469.48;31225.30245;0
220;1;0-15;36636.99648;3663.70;32973.29683;0
221;1;0-15;46951.45748;4695.15;42256.31173;0
222;1;0-15;38429.14975;3842.91;34586.23477;0
223;1;0-15;34585.9134;3458.59;31127.32206;0
224;1;0-15;53176.66532;5317.67;47858.99879;0
225;1;0-15;83917.48265;8391.75;75525.73438;0
226;1;0-15;55636.89871;5563.69;50073.20884;0
227;1;0-15;39943.82276;3994.38;35949.44049;0
228;1;0-15;89067.48344;8906.75;80160.7351;0
229;1;0-15;95989.36341;9598.94;86390.42707;0
230;1;0-15;26977.11961;2697.71;24279.40765;0
231;1;0-15;20083.127;2008.31;18074.8143;0
232;1;0-15;2681.145537;268.11;2413.030983;0
233;1;0-15;36129.18519;3612.92;32516.26667;0
234;1;0-15;90331.23992;9033.12;81298.11593;0
235;1;0-15;99162.734;9916.27;89246.4606;0
236;1;0-15;65856.68766;6585.67;59271.01889;0
237;1;0-15;50046.70703;5004.67;45042.03632;0
238;1;0-15;82121.79327;8212.18;73909.61394;0
239;1;0-15;55839.00935;5583.90;50255.10841;0
240;1;0-15;95539.4975;9553.95;85985.54775;0
241;1;0-15;65368.46233;6536.85;58831.6161;0
242;1;0-15;76285.85676;7628.59;68657.27109;0
243;1;0-15;1724.907705;172.49;1552.416935;0
244;1;0-15;46813.83262;4681.38;42132.44936;0
245;1;0-15;13597.6216;1359.76;12237.85944;0
246;1;0-15;88098.65878;8809.87;79288.7929;0
247;1;0-15;5016.656936;501.67;4514.991242;0
248;1;0-15;51349.25202;5134.93;46214.32682;0
249;1;0-15;30844.83874;3084.48;27760.35487;0
250;1;0-15;11252.20117;1125.22;10126.98105;0
251;1;0-15;67374.19956;6737.42;60636.7796;0
252;1;0-15;86152.71686;8615.27;77537.44518;0
253;1;0-15;35671.18991;3567.12;32104.07092;0
254;1;0-15;95308.03738;9530.80;85777.23364;0
255;1;0-15;18145.97906;1814.60;16331.38116;0
256;1;0-15;81509.05122;8150.91;73358.1461;0
257;1;0-15;98505.21729;9850.52;88654.69556;0
258;1;0-15;86753.76837;8675.38;78078.39154;0
259;1;0-15;19736.58328;1973.66;17762.92495;0
260;1;0-15;62534.36955;6253.44;56280.93259;0
261;1;0-15;26665.25971;2666.53;23998.73374;0
262;1;0-15;6695.92055;669.59;6026.328495;0
263;1;0-15;18383.49908;1838.35;16545.14917;0
264;1;0-15;95862.64401;9586.26;86276.37961;0
265;1;0-15;4808.88456;480.89;4327.996104;0
266;1;0-15;21025.25308;2102.53;18922.72777;0
267;1;0-15;88487.51771;8848.75;79638.76594;0
268;1;0-15;25051.41054;2505.14;22546.26949;0
269;1;0-15;17629.66163;1762.97;15866.69546;0
270;1;0-15;41381.49046;4138.15;37243.34142;0
271;1;0-15;88019.36008;8801.94;79217.42407;0
272;1;0-15;45325.66443;4532.57;40793.09799;0
273;1;0-15;71051.67201;7105.17;63946.50481;0
274;1;0-15;61901.50619;6190.15;55711.35557;0
275;1;0-15;97124.02343;9712.40;87411.62109;0
276;1;0-15;50067.83667;5006.78;45061.05301;0
277;1;0-15;79596.33913;7959.63;71636.70522;0
278;1;0-15;93198.42882;9319.84;83878.58594;0
279;1;0-15;34582.4286;3458.24;31124.18574;0
280;1;0-15;1025.440065;102.54;922.8960585;0
1;2;0-15;80141.24632;8014.12;64112.99705;0
2;2;0-15;82195.07749;8219.51;65756.062;0
3;2;0-15;31057.58455;3105.76;24846.06764;0
4;2;15-30;4565.938116;456.59;4109.344304;0
5;2;0-15;63041.14487;6304.11;50432.9159;0
6;2;30-60;44587.78564;4458.78;40129.00708;0
7;2;0-15;70493.49557;7049.35;56394.79646;0
8;2;0-15;44113.66751;4411.37;35290.934;0
9;2;0-15;66637.33853;6663.73;53309.87082;0
10;2;0-15;71975.37481;7197.54;57580.29985;0
11;2;15-30;34894.03975;3489.40;31404.63578;0
12;2;0-15;35834.44956;3583.44;28667.55965;0
13;2;0-15;18763.30183;1876.33;15010.64146;0
14;2;0-15;96387.43491;9638.74;77109.94793;0
15;2;15-30;66067.71026;6606.77;59460.93923;0
16;2;0-15;34894.77284;3489.48;27915.81827;0
17;2;0-15;50103.11043;5010.31;40082.48834;0
18;2;15-30;32456.3958;3245.64;29210.75622;0
19;2;0-15;71920.1473;7192.01;57536.11784;0
20;2;0-15;11493.11144;1149.31;9194.489153;0
21;2;0-15;9888.814496;988.88;7911.051596;0
22;2;0-15;84143.38463;8414.34;67314.7077;0
23;2;0-15;47466.64445;4746.66;37973.31556;0
24;2;0-15;73791.23145;7379.12;59032.98516;0
25;2;0-15;89984.428;8998.44;71987.5424;0
26;2;0-15;44624.0156;4462.40;35699.21248;0
27;2;0-15;8145.305782;814.53;6516.244625;0
28;2;0-15;37063.41568;3706.34;29650.73254;0
29;2;0-15;17413.80793;1741.38;13931.04635;0
30;2;0-15;31314.42057;3131.44;25051.53645;0
31;2;30-60;43115.72555;4311.57;38804.153;0
32;2;0-15;89635.7983;8963.58;71708.63864;0
33;2;0-15;88000.25019;8800.03;70400.20015;0
34;2;0-15;74567.57474;7456.76;59654.05979;0
35;2;0-15;13679.04352;1367.90;10943.23482;0
36;2;0-15;80002.70688;8000.27;64002.16551;0
37;2;0-15;66805.62177;6680.56;53444.49742;0
38;2;15-30;56282.65982;5628.27;50654.39383;0
39;2;60-90;89408.27392;8940.83;80467.44653;0
40;2;0-15;2790.459435;279.05;2232.367548;0
41;2;60-90;76344.72715;7634.47;68710.25444;0
42;2;0-15;73757.88578;7375.79;59006.30862;0
43;2;0-15;69896.65648;6989.67;55917.32518;0
44;2;0-15;28489.08317;2848.91;22791.26654;0
45;2;0-15;37397.15294;3739.72;29917.72235;0
46;2;def;25848.35932;2584.84;23263.52339;1888.527341
47;2;15-30;85879.22318;8587.92;77291.30086;0
48;2;0-15;45513.54397;4551.35;36410.83518;0
49;2;0-15;57174.93419;5717.49;45739.94735;0
50;2;0-15;56460.71964;5646.07;45168.57571;0
51;2;0-15;8021.780696;802.18;6417.424557;0
52;2;0-15;25842.06247;2584.21;20673.64998;0
53;2;0-15;81301.73241;8130.17;65041.38593;0
54;2;0-15;24619.6416;2461.96;19695.71328;0
55;2;0-15;92717.08048;9271.71;74173.66439;0
56;2;0-15;60603.30909;6060.33;48482.64727;0
57;2;0-15;19676.52524;1967.65;15741.22019;0
58;2;def;32457.24749;3245.72;29211.52274;21710.33143
59;2;0-15;50270.16482;5027.02;40216.13186;0
60;2;0-15;16988.31536;1698.83;13590.65228;0
61;2;0-15;27848.2111;2784.82;22278.56888;0
62;2;0-15;22370.12953;2237.01;17896.10362;0
63;2;0-15;68556.18754;6855.62;54844.95003;0
64;2;0-15;12803.79369;1280.38;10243.03495;0
65;2;0-15;57394.85038;5739.49;45915.8803;0
66;2;15-30;96998.81215;9699.88;87298.93094;0
67;2;0-15;49032.36217;4903.24;39225.88973;0
68;2;0-15;45152.50063;4515.25;36122.00051;0
69;2;0-15;62338.24518;6233.82;49870.59614;0
70;2;0-15;22517.91278;2251.79;18014.33022;0
71;2;0-15;98104.13499;9810.41;78483.30799;0
72;2;0-15;32546.53371;3254.65;26037.22697;0
73;2;30-60;44206.3108;4420.63;39785.67972;0
74;2;0-15;96390.38708;9639.04;77112.30966;0
75;2;0-15;42728.96487;4272.90;34183.1719;0
76;2;0-15;88655.91789;8865.59;70924.73431;0
77;2;0-15;324.433922;32.44;259.5471376;0
78;2;0-15;56340.07098;5634.01;45072.05678;0
79;2;0-15;37324.58197;3732.46;29859.66557;0
80;2;0-15;70942.82127;7094.28;56754.25702;0
81;2;0-15;97053.00412;9705.30;77642.4033;0
82;2;0-15;81376.24949;8137.62;65100.99959;0
83;2;0-15;83597.78857;8359.78;66878.23086;0
84;2;30-60;98566.49075;9856.65;88709.84167;0
85;2;15-30;48247.4027;4824.74;43422.66243;0
86;2;0-15;52724.38449;5272.44;42179.50759;0
87;2;0-15;90465.62952;9046.56;72372.50362;0
88;2;0-15;14791.15509;1479.12;11832.92407;0
89;2;0-15;82885.55707;8288.56;66308.44565;0
90;2;0-15;35794.84277;3579.48;28635.87422;0
91;2;0-15;35316.73524;3531.67;28253.38819;0
92;2;15-30;59017.10994;5901.71;53115.39894;0
93;2;0-15;71738.11463;7173.81;57390.49171;0
94;2;0-15;60080.75125;6008.08;48064.601;0
95;2;0-15;96756.46959;9675.65;77405.17567;0
96;2;60-90;98699.97951;9870.00;88829.98156;0
97;2;0-15;13267.08621;1326.71;10613.66897;0
98;2;0-15;4000.509967;400.05;3200.407974;0
99;2;0-15;65680.16035;6568.02;52544.12828;0
100;2;0-15;66795.11414;6679.51;53436.09131;0
101;2;0-15;74738.80755;7473.88;59791.04604;0
102;2;0-15;11373.9981;1137.40;9099.19848;0
103;2;0-15;13001.89433;1300.19;10401.51546;0
104;2;0-15;1673.347212;167.33;1338.67777;0
105;2;0-15;96090.08155;9609.01;76872.06524;0
106;2;0-15;6555.125605;655.51;5244.100484;0
107;2;0-15;28641.00751;2864.10;22912.80601;0
108;2;0-15;15643.01609;1564.30;12514.41287;0
109;2;0-15;84838.9636;8483.90;67871.17088;0
110;2;0-15;35297.38679;3529.74;28237.90944;0
111;2;0-15;60807.06842;6080.71;48645.65474;0
112;2;0-15;72790.71697;7279.07;58232.57358;0
113;2;0-15;4803.092689;480.31;3842.474151;0
114;2;0-15;98767.03644;9876.70;79013.62916;0
115;2;0-15;19827.74792;1982.77;15862.19834;0
116;2;0-15;9379.216592;937.92;7503.373273;0
117;2;15-30;60668.37222;6066.84;54601.53499;0
118;2;0-15;39987.23008;3998.72;31989.78407;0
119;2;0-15;86243.70902;8624.37;68994.96721;0
120;2;0-15;31223.52129;3122.35;24978.81703;0
121;2;0-15;57298.66748;5729.87;45838.93398;0
122;2;0-15;84372.87993;8437.29;67498.30394;0
123;2;0-15;62819.94563;6281.99;50255.95651;0
124;2;30-60;69536.93579;6953.69;62583.24221;0
125;2;0-15;21135.66867;2113.57;16908.53494;0
126;2;def;48732.20361;4873.22;43858.98325;7244.744825
127;2;0-15;34589.20154;3458.92;27671.36123;0
128;2;0-15;98006.698;9800.67;78405.3584;0
129;2;0-15;94781.22397;9478.12;75824.97918;0
130;2;0-15;11176.3795;1117.64;8941.103598;0
131;2;15-30;86493.68199;8649.37;77844.31379;0
132;2;0-15;77330.5751;7733.06;61864.46008;0
133;2;15-30;54514.20827;5451.42;49062.78744;0
134;2;0-15;54222.84635;5422.28;43378.27708;0
135;2;0-15;38284.79113;3828.48;30627.8329;0
136;2;15-30;65387.12938;6538.71;58848.41644;0
137;2;0-15;3102.838046;310.28;2482.270437;0
138;2;0-15;13992.72685;1399.27;11194.18148;0
139;2;15-30;4219.472476;421.95;3797.525228;0
140;2;15-30;39014.60449;3901.46;35113.14404;0
141;2;0-15;7269.478136;726.95;5815.582509;0
142;2;0-15;70709.06239;7070.91;56567.24991;0
143;2;0-15;58134.32067;5813.43;46507.45653;0
144;2;0-15;14404.32679;1440.43;11523.46143;0
145;2;0-15;56586.07338;5658.61;45268.8587;0
146;2;0-15;82443.05239;8244.31;65954.44191;0
147;2;15-30;15210.07817;1521.01;13689.07035;0
148;2;0-15;36596.95829;3659.70;29277.56663;0
149;2;0-15;43370.98673;4337.10;34696.78939;0
150;2;0-15;97541.69637;9754.17;78033.3571;0
151;2;30-60;69466.57662;6946.66;62519.91896;0
152;2;0-15;93071.96903;9307.20;74457.57523;0
153;2;30-60;97854.11067;9785.41;88068.69961;0
154;2;0-15;33756.99226;3375.70;27005.59381;0
155;2;0-15;68799.09733;6879.91;55039.27786;0
156;2;0-15;20423.01881;2042.30;16338.41505;0
157;2;0-15;10822.27033;1082.23;8657.816268;0
158;2;0-15;91710.01007;9171.00;73368.00806;0
159;2;30-60;94192.24628;9419.22;84773.02165;0
160;2;0-15;34096.60137;3409.66;27277.28109;0
161;2;0-15;43102.79942;4310.28;34482.23954;0
162;2;0-15;29895.81553;2989.58;23916.65242;0
163;2;0-15;4970.674301;497.07;3976.539441;0
164;2;0-15;56955.39544;5695.54;45564.31635;0
165;2;0-15;35618.73905;3561.87;28494.99124;0
166;2;0-15;14322.06743;1432.21;11457.65394;0
167;2;0-15;20141.41495;2014.14;16113.13196;0
168;2;0-15;47929.90208;4792.99;38343.92166;0
169;2;0-15;66586.02669;6658.60;53268.82135;0
170;2;30-60;37611.27929;3761.13;33850.15136;0
171;2;0-15;33009.6817;3300.97;26407.74536;0
172;2;0-15;2136.667606;213.67;1709.334084;0
173;2;30-60;66219.03671;6621.90;59597.13304;0
174;2;0-15;80642.53222;8064.25;64514.02577;0
175;2;0-15;37529.37868;3752.94;30023.50294;0
176;2;30-60;89191.14418;8919.11;80272.02977;0
177;2;0-15;44255.39056;4425.54;35404.31245;0
178;2;0-15;82162.35283;8216.24;65729.88226;0
179;2;0-15;17863.06953;1786.31;14290.45562;0
180;2;0-15;35159.63756;3515.96;28127.71005;0
181;2;0-15;73857.9588;7385.80;59086.36704;0
182;2;0-15;49872.9796;4987.30;39898.38368;0
183;2;def;38932.25681;3893.23;35039.03113;28002.468
184;2;0-15;44593.23448;4459.32;35674.58759;0
185;2;0-15;19164.15486;1916.42;15331.32389;0
186;2;0-15;29036.95364;2903.70;23229.56291;0
187;2;0-15;49615.79674;4961.58;39692.6374;0
188;2;0-15;62194.76771;6219.48;49755.81417;0
189;2;60-90;23461.12961;2346.11;21115.01665;0
190;2;0-15;36755.8332;3675.58;29404.66656;0
191;2;60-90;22294.26148;2229.43;20064.83533;0
192;2;30-60;2209.367735;220.94;1988.430962;0
193;2;15-30;35109.03378;3510.90;31598.13041;0
194;2;0-15;14637.6343;1463.76;11710.10744;0
195;2;0-15;5712.361433;571.24;4569.889146;0
196;2;0-15;60609.15723;6060.92;48487.32578;0
197;2;0-15;19520.14628;1952.01;15616.11702;0
198;2;0-15;66237.09452;6623.71;52989.67562;0
199;2;0-15;87791.97399;8779.20;70233.5792;0
200;2;60-90;91962.58516;9196.26;82766.32664;0
201;2;60-90;17642.90931;1764.29;15878.61838;0
202;2;0-15;5946.590363;594.66;4757.27229;0
203;2;0-15;57541.77994;5754.18;46033.42395;0
204;2;15-30;71951.15914;7195.12;64756.04322;0
205;2;30-60;76838.78243;7683.88;69154.90419;0
206;2;0-15;59265.98913;5926.60;47412.79131;0
207;2;0-15;22213.13246;2221.31;17770.50597;0
208;2;0-15;83755.904;8375.59;67004.7232;0
209;2;15-30;21137.85113;2113.79;19024.06601;0
210;2;0-15;91667.47094;9166.75;73333.97675;0
211;2;0-15;16459.76615;1645.98;13167.81292;0
212;2;0-15;34001.87729;3400.19;27201.50184;0
213;2;0-15;54886.52959;5488.65;43909.22367;0
214;2;30-60;63082.53187;6308.25;56774.27869;0
215;2;60-90;30403.33784;3040.33;27363.00406;0
216;2;0-15;97879.07532;9787.91;78303.26026;0
217;2;15-30;28568.83706;2856.88;25711.95335;0
218;2;0-15;30032.12747;3003.21;24025.70198;0
219;2;0-15;34694.78049;3469.48;27755.8244;0
220;2;0-15;36636.99648;3663.70;29309.59718;0
221;2;0-15;46951.45748;4695.15;37561.16598;0
222;2;15-30;38429.14975;3842.91;34586.23477;0
223;2;15-30;34585.9134;3458.59;31127.32206;0
224;2;0-15;53176.66532;5317.67;42541.33226;0
225;2;0-15;83917.48265;8391.75;67133.98612;0
226;2;0-15;55636.89871;5563.69;44509.51897;0
227;2;0-15;39943.82276;3994.38;31955.05821;0
228;2;0-15;89067.48344;8906.75;71253.98676;0
229;2;0-15;95989.36341;9598.94;76791.49073;0
230;2;0-15;26977.11961;2697.71;21581.69569;0
231;2;15-30;20083.127;2008.31;18074.8143;0
232;2;0-15;2681.145537;268.11;2144.916429;0
233;2;0-15;36129.18519;3612.92;28903.34815;0
234;2;0-15;90331.23992;9033.12;72264.99193;0
235;2;0-15;99162.734;9916.27;79330.1872;0
236;2;15-30;65856.68766;6585.67;59271.01889;0
237;2;0-15;50046.70703;5004.67;40037.36562;0
